	Category	Start Date	Status	Name		Duration	Linked	Owner	Details	
	Meeting	"30/12/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"27/12/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"27/12/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"26/12/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"25/12/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"23/12/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"20/12/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"20/12/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"19/12/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"18/12/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"16/12/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"13/12/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"13/12/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"12/12/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"11/12/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"9/12/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"6/12/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"6/12/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"5/12/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"4/12/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"2/12/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"29/11/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"29/11/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"28/11/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"27/11/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"25/11/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
