SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
 4214 Classic aquaBUBBLER,AB12/TOH8/FPTO/T:3/4214,Waterford Trading Production,,,705.041,705.041
 4217 Classic aquaBUBBLER,AB12/TOH8/FPTO/T:1/4217,Waterford Trading Production,,,705.041,705.041
 4251 Classic aquaBUBBLER ,AB12/H8RB/FPRB/T:10/4251,Waterford Trading Production,,,705.041,705.041
 4511NZ Classic aquaBUBBLER,AB12/F0/H8GL/FPPB/T:3/4511NZ,Waterford Trading Production,,,705.041,705.041
 5864 Classic aquaBUBBLER,AB12/H8RB/FPRB/T:3/5864,Waterford Trading Production,,,705.041,705.041
 5944 Classic aquaBUBBLER,AB12/F0/C3/H10CW/FPCG/T:10/5944 (I),Waterford Trading Production,,,705.041,705.041
 5946 Classic aquaBUBBLER,AB12/H10TO/FPPB/T:4/5946 (O),Waterford Trading Production,,,705.041,705.041
 6003 Classic aquaBUBBLER,AB12/H7PB/FPPB/T:3/6003,Waterford Trading Production,,,705.041,705.041
 6046 Classic aquaBUBBLER,AB12/H7DP/FPCG/T:10/6046,Waterford Trading Production,,,705.041,705.041
 AB12/7/0/RB/T:3/3895,Classic aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
 AB12/F0/H8/CG/T:10/3942,Classic aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
 AB12/H8RB/FPOG/T:10/6498,6498 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
 AB2UA14/8/0/PB/CR/T:10/SY:9:650/TO:3:780/3596,UA2 aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
 ABS14/CP/H13RB/6398,6398 Water Bottle Refill Station aquaBUBBLER Outdoor,Waterford Trading Production,,,705.041,705.041
 ABUA13/7/0/PB/CR/T:9/CR:3:680/3867,UA aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
 ABUA13/H6TO/FPCG/T:2/SPOG:9:580/6630 ,6630 Universal Access Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
 ABUA13/H8/C15A/RB/T:10/RB:3:740/3757,UA aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
 ABUA13/H8TO/FPTO/T:10/SPTO:3:740/6677,6677 Universal Access Outdoor aquaBUBBLER ,Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5915-5916,AB12/H8OG/FPOG/T:10/5915-5916 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5917-5920,AB12/WA/H8CG/FPAQ/T:10/5917-5920,Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5921,AB12/C3/H8CR/FPSY/T:3/5921 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5924,AB12/C3/H10DB/FPDB/T:3/5924 (I),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5925,AB12/H7CG/FPCG/T:10/5925 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5956-5959,AB12/H7RB/FPRB/T:10/5956-5959,Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5960-5963,AB12/H7AQ/FPAQ/T:10/5960-5963,Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5964-5967,AB12/H7PB/FPPB/T:10/5964-5967,Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5982,AB12/H8RB/FPRB/T:3/5982,Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5991,AB12/H8SY/FPSY/T:10/5991 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 5992,AB12/H8DB/FPDB/T:10/5992 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 6000,AB12/H7PB/FPPB/T:10/6000 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 6012,AB12/H7RB/FPSY/T:1/6012 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 6036,AB12/H7CG/FPCG/T:3/6036,Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 6037-6039,AB12/H7CG/FPCG/T:3/6037-6039 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 6044-6045,AB12/H10CG/FPCG/T:10/6044-6045 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER 6070-6071,2 AB12/H8DB/FPDB/T:10/6070-6071 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER With Anti Freeze 6032-6033,AB12/VA/H8GL/FPGL/T:10/6032-6033 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER With Anti Freeze 6034-6035,AB12/VA/H8OG/FPOG/T:10/6034-6035 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER with Dog Bowl 5994-5999,AB12/DG:3/H8PB/FPPB/T:10/5994-5999 (O),Waterford Trading Production,,,705.041,705.041
 Classic aquaBUBBLER with Filter 5993,AB12/F0/H7GL/FPGL/T:10/5993 (O),Waterford Trading Production,,,705.041,705.041
01024-0806,1/2 to 3/8 Reducing Bush for filter connection (Tubefit) ATS5200.105 WM-022458 AB||42,Reliance Worldwide Corporation Pty. Ltd.,,,1.58,0
01024-0806,1/2 to 3/8 Reducing Bush for filter connection (Tubefit) ATS5200.105 WM-022458 AB||42,TubeFit (Reliance),01024-0806,,1.58,1.58
13100,Cap DWV PVC Push On AB||49,Tradelink Deprecated,Tradelink - 013100,,25.45,25.45
13100,Cap DWV PVC Push On AB||49,Tradelink Pty Ltd,,,25.45,0
1 7136/ABS14/C3/AP9/H15DB ,7136 Twin Refill Station Outdoor aquaBUBBLER ,Waterford Trading Production,,,705.041,705.041
1 AB12/C15A/H6DP/FPSY/T:10/6273 ,6273 Classic  Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/C15A/H6TO/FPSY/T:10/6276,6276 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/C15A/H7CR/FPTO/T:10/6274,6274 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/C15A/H7DB/FPRB/T:10/6275,6275 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/C7A/H10CG/FPCG/T:10/6280 ,6280 Classic Indoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/GT/H10CG/FPCG/T:10/6277,6277 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/GT/H10CG/FPCG/T:10/6278,6278 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/GT/H10CG/FPCG/T:10/6279,6279 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/H10CG/FPCG/T:10/6281,6281 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 AB12/H10CG/FPCG/T:10/6282,6282 Classic Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 ABS14/F0/C7/CP/H15CG/6288,6288 Water Bottle Refill Station aquaBUBBLER Indoor,Waterford Trading Production,,,705.041,705.041
1 ABS14/F0/C7A/CP/H15CG/6290,6290 Water Bottle Refill Station aquaBUBBLER Indoor,Waterford Trading Production,,,705.041,705.041
1 ABS14/F0/CP/H15CG/6289,6289 Water Bottle Refill Station aquaBUBBLER Indoor,Waterford Trading Production,,,705.041,705.041
1 ABUA13/F0/H7CG/FPCG/T:10/SPCG:3:680/6784,6784 Universal Access,Waterford Trading Production,,,705.041,705.041
1 ABUA13/H10CG/FPCG/T:10/SPCG:3:930/6285 ,6285 Universal Access Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 ABUA13/H8CG/FPCG/T:10/SPCG:3:780/6284 ,6284 Universal Access Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1 ABUA13/H8CG/FPCG/T:2/SPCG:9:780/6283 ,6283 Universal Access Outdoor aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
1000.005,Dual Check Valve Stainless Steel AB||34,Nymet,Nymet - 1000.005,,20,20
10SCV,10mm Single Check Valve AB||26,John Guest Pacific Ltd - RWC,JG-10SCV,,14.827,1
139841,Insulated Pipe ST STD Temp PLN 6ID 9WT 2m,Tradelink Pty Ltd,139841,Insulated Pipe ST STD Temp PLN 6ID 9WT 2m,1.51,1.51
15DCSV,15mm Dual Check Valve AB||26,John Guest Pacific Ltd - RWC,JG-15DCV,,12.864,12.83
18-316SS Fountain Dish Raw,316SSFT18R AB||10,Beta Metal Spinning Co. Pty. Ltd.,316SSFT18R,,84.5,85
1904199,Armaflex Frv 9mm Wall X 6mm Bore (105 length / box) AB||03,Actrol,Actrol - 3R210200,,2.18,2.18
3/8 UNF SS Nut,3/8 UNF nut for chiller pressure relief valve into Pod AB||33,aquabubbler,,,,0
3/8 UNF SS Nut,3/8 UNF nut for chiller pressure relief valve into Pod AB||33,Micro Fasteners Pty. Ltd.,X50 10UNF304,,0.35,0.35
300MM Hose Water 8MM ,PEX - 15RC X 15RC X 300MM - AB||49,Tradelink Deprecated,Tradelink - 300MM Hose Water 8MM ,,2.64,2.64
300MM Hose Water 8MM ,PEX - 15RC X 15RC X 300MM - AB||49,Tradelink Pty Ltd,,,2.95,0
316 BSP Y Strainer,316 BSP Y Strainer - SP Valves,SP Valves,,,11.06,11.06
316SS Fountain Dish Brush,316SS Fountain Dish Brush Satin Polish AB||38,Precision Plating (Aust) Pty. Ltd.,316SS Fountain Dish Brush Satin Polish,,11.8,15
34,Universal aquaBUBBLER,Waterford Trading Production,,,705.041,705.041
3424 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3424,Waterford Trading Production,,,705.041,705.041
3425 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3425,Waterford Trading Production,,,705.041,705.041
3426 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3426,Waterford Trading Production,,,705.041,705.041
3427 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3427,Waterford Trading Production,,,705.041,705.041
3428 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3428,Waterford Trading Production,,,705.041,705.041
3429 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3429,Waterford Trading Production,,,705.041,705.041
3430 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3430,Waterford Trading Production,,,705.041,705.041
3430 Water Refill Station with option,ABS14/VA/AP/H13CG/3430,Waterford Trading Production,,,705.041,705.041
3431 Classic aquaBUBBLER with option,AB12/MG/H7CR/FPOG/T:10/3431,Waterford Trading Production,,,705.041,705.041
3431 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3431,Waterford Trading Production,,,705.041,705.041
3432 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPCG/T:2/SPCG:3:780/SPCG:9:700/3432,Waterford Trading Production,,,705.041,705.041
3432 Universal aquaBUBBLER with option,ABUA13/MG/H7PB/FPCR/T:10/SPSY:3:680/3432,Waterford Trading Production,,,705.041,705.041
3795 Water Refill Station,ABS14/CGH15/3795,Waterford Trading Production,,,705.041,705.041
3796 Water Refill Station,ABS14/CGH15/3796,Waterford Trading Production,,,705.041,705.041
4005 Double Universal aquaBUBBLER,AB2UA14/PBH7/FPCR/T:11/SPSY:9:600/SPOG:3:680/4005,Waterford Trading Production,,,705.041,705.041
4035 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPSY/T:10/SPSY:9:740/SPSY:3:650/4035,Waterford Trading Production,,,705.041,705.041
4036 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPSY/T:10/SPSY:9:740/SPSY:3:650/4036,Waterford Trading Production,,,705.041,705.041
4037 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPSY/T:10/SPSY:9:740/SPSY:3:650/4037,Waterford Trading Production,,,705.041,705.041
4038 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPSY/T:10/SPSY:9:740/SPSY:3:650/4038,Waterford Trading Production,,,705.041,705.041
4039 Double Universal aquaBUBBLER,AB2UA14/CGH8/FPSY/T:10/SPSY:9:740/SPSY:3:650/4039,Waterford Trading Production,,,705.041,705.041
4055 Water Refill Station,ABS14/RBH15/4055,Waterford Trading Production,,,705.041,705.041
4056 Water Refill Station,ABS14/RBH15/4056,Waterford Trading Production,,,705.041,705.041
4057 Water Refill Station,ABS14/RBH15/4057,Waterford Trading Production,,,705.041,705.041
4058 Water Refill Station,ABS14/RBH15/4058,Waterford Trading Production,,,705.041,705.041
4059 Water Refill Station,ABS14/RBH15/4059,Waterford Trading Production,,,705.041,705.041
4060 Water Refill Station,ABS14/RBH15/4060,Waterford Trading Production,,,705.041,705.041
4061 Water Refill Station,ABS14/CGH15/4061,Waterford Trading Production,,,705.041,705.041
4062 Water Refill Station,ABS14/CGH15/4062,Waterford Trading Production,,,705.041,705.041
4065 Classic aquaBUBBLER with Twin Filter System,AB12/FT/RBH7/C15A/FPCR/T:10/4065,Waterford Trading Production,,,705.041,705.041
4066 Double Universal aquaBUBBLER ,AB2UA14/FT/RBH8/C15A/FPCR/T:11/SPTO:9:600/SPTO:3:780/4066,Waterford Trading Production,,,705.041,705.041
4084 Classic aquaBUBBLER,AB12/H8CG/FPCG/T:2/4084,Waterford Trading Production,,,705.041,705.041
4085 Classic aquaBUBBLER,AB12/H8CG/FPCG/T:2/4085,Waterford Trading Production,,,705.041,705.041
4086 Universal aquaBUBBLER,ABUA13/H8CG/FPCG/T:2/SPCG:9:750/4086,Waterford Trading Production,,,705.041,705.041
4087 Universal aquaBUBBLER,ABUA13/H8CG/FPCG/T:2/SPCG:9:750/4087,Waterford Trading Production,,,705.041,705.041
4096 Classic aquaBUBBLER,AB12/PRH7/FPPR/T:11/4096,Waterford Trading Production,,,705.041,705.041
