SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
AB/C15,aquaBUBBLER Chiller 15L,Frigmac Pty. Ltd,FRS,Frigmac stainless steel cabinet refrigerated water coolers,1798.00,1713.00
AB/C3,aquaBUBBLER Chiller 3L,Frigmac Pty. Ltd,TLS16,Frigmac under bench refrigerated water cooler,776.60,706.00
AB/C7,aquaBUBBLER Chiller 7.5L,Frigmac Pty. Ltd,FRCS S/S,Frigmac stainless steel cabinet refrigerated water coolers S,1798.00,1713.00
ABB600BE,ROI-B4-BO-600 Beige,Roto Industries Pty Ltd,ABB600BE,,75.25,75.25
ABB600DB,ROI-A2-BO-600 Dark Blue,Roto Industries Pty Ltd,ABB600DB,,71.60,75.25
ABB600DG,ROI-A9-BO-600 Dark Green,Roto Industries Pty Ltd,ABB600DG,,75.25,75.25
ABB600LB,ROI-A7-BO-600 Light Blue,Roto Industries Pty Ltd,ABB600LB,,75.25,75.25
ABB600LG,ROI-A4-BO-600 Lime Green,Roto Industries Pty Ltd,ABB600LG,,75.25,75.25
ABB600MB,ROI-B1-BO-600 Mountain Blue,Roto Industries Pty Ltd,ABB600MB,,75.25,75.25
ABB600MO,ROI-A1-BO-600 Monument,Roto Industries Pty Ltd,ABB600MO,,75.25,75.25
ABB600PU,ROI-B2-BO-600 Purple,Roto Industries Pty Ltd,ABB600PU,,75.25,75.25
ABB600SO,ROI-A6-BO-600 Stock Orange,Roto Industries Pty Ltd,ABB600SO,,75.25,75.25
ABB600SR,ROI-A3-BO-600 Stock Red,Roto Industries Pty Ltd,ABB600SR,,75.25,75.25
ABB600SW,ROI-B3-BO-600 Stock White,Roto Industries Pty Ltd,ABB600SW,,75.25,75.25
ABB600SY,ROI-A5-BO-600 Stock Yellow,Roto Industries Pty Ltd,ABB600SY,,75.25,75.25
ABB600TE,ROI-A8-BO-600 Teal,Roto Industries Pty Ltd,ABB600TE,,75.25,75.25
ABB700BE,ROI-B4-BO-700 Beige,Roto Industries Pty Ltd,ABB700BE,,85.73,75.25
ABB700DB,ROI-A2-BO-700 Dark Blue,Roto Industries Pty Ltd,ABB700DB,,85.73,75.25
ABB700DG,ROI-A9-BO-700 Dark Green,Roto Industries Pty Ltd,ABB700DG,,85.73,75.25
ABB700LB,ROI-A7-BO-700 Light Blue,Roto Industries Pty Ltd,ABB700LB,,85.73,75.25
ABB700LG,ROI-A4-BO-700 Lime Green,Roto Industries Pty Ltd,ABB700LG,,77.94,75.25
ABB700MB,ROI-B1-BO-700 Mountain Blue,Roto Industries Pty Ltd,ABB700MB,,85.73,75.25
ABB700MO,ROI-A1-BO-700 Monument,Roto Industries Pty Ltd,ABB700MO,,85.73,75.25
ABB700PU,ROI-B2-BO-700 Purple,Roto Industries Pty Ltd,ABB700PU,,85.73,75.25
ABB700SO,ROI-A6-BO-700 Stock Orange,Roto Industries Pty Ltd,ABB700SO,,77.94,75.25
ABB700SR,ROI-A3-BO-700 Stock Red,Roto Industries Pty Ltd,ABB700SR,,77.94,75.25
ABB700SW,ROI-B3-BO-700 Stock White,Roto Industries Pty Ltd,ABB700SR,,85.73,75.25
ABB700SY,ROI-A5-BO-700 Stock Yellow,Roto Industries Pty Ltd,ABB700SY,,85.73,75.25
ABB700TE,ROI-A8-BO-700 Teal,Roto Industries Pty Ltd,ABB700TE,,85.73,75.25
ABB800BE,ROI-B4-BO-800 Beige,Roto Industries Pty Ltd,ABB800BE,,94.86,82.71
ABB800DB,ROI-A2-BO-800 Dark Blue,Roto Industries Pty Ltd,ABB800DB,,94.86,82.71
ABB800DG,ROI-A9-BO-800 Dark Green,Roto Industries Pty Ltd,ABB800DG,,85.67,82.71
ABB800LB,ROI-A7-BO-800 Light Blue,Roto Industries Pty Ltd,ABB800LB,,86.07,82.71
ABB800LG,ROI-A4-BO-800 Lime Green,Roto Industries Pty Ltd,ABB800LG,,94.86,82.71
ABB800MB,ROI-B1-BO-800 Mountain Blue,Roto Industries Pty Ltd,ABB800MB,,94.86,82.71
ABB800MO,ROI-A1-BO-800 Monument,Roto Industries Pty Ltd,ABB800MO,ROI-A1-BO-800 Monument,94.86,86.07
ABB800PU,ROI-B2-BO-800 Purple,Roto Industries Pty Ltd,ABB800PU,,94.86,82.71
ABB800SO,ROI-A6-BO-800 Stock Orange,Roto Industries Pty Ltd,ABB800SO,,94.86,82.71
ABB800SR,ROI-A3-BO-800 Stock Red,Roto Industries Pty Ltd,ABB800SR,,86.07,82.71
ABB800SW,ROI-B3-BO-800 Stock White,Roto Industries Pty Ltd,ABB800SW,,94.86,82.71
ABB800SY,ROI-A5-BO-800 Stock Yellow,Roto Industries Pty Ltd,ABB800SY,,84.70,82.71
ABB800TE,ROI-A8-BO-800 Teal,Roto Industries Pty Ltd,ABB800TE,,85.29,82.71
ABBIN600DB,ROI-A2-BO-IN-600 Dark Blue,Roto Industries Pty Ltd,ABBIN600DB,,71.60,71.60
ABBIN600DG,ROI-A9-BO-IN-600 Dark Green,Roto Industries Pty Ltd,ABBIN600DG,,71.60,71.60
ABBIN600LB,ROI-A7-BO-IN-600 Light Blue,Roto Industries Pty Ltd,ABBIN600LB,,71.60,71.60
ABBIN600LG,ROI-A4-BO-IN-600 Lime Green,Roto Industries Pty Ltd,ABBIN600LG,,71.60,71.60
ABBIN600MB,ROI-B1-BO-IN-600 Mountain Blue,Roto Industries Pty Ltd,ABBIN600MB,,71.60,71.60
ABBIN600MO,ROI-A1-BO-IN-600 Monument,Roto Industries Pty Ltd,ABBIN600MO,,71.60,71.60
ABBIN600PU,ROI-B2-BO-IN-600 Purple,Roto Industries Pty Ltd,ABBIN600PU,,71.60,71.60
ABBIN600SO,ROI-A6-BO-IN-600 Stock Orange,Roto Industries Pty Ltd,ABBIN600SO,,71.60,71.60
ABBIN600SR,ROI-A3-BO-IN-600 Stock Red,Roto Industries Pty Ltd,ABBIN600SR,,71.60,71.60
ABBIN600SW,ROI-B3-BO-IN-600 Stock White,Roto Industries Pty Ltd,ABBIN600SW,,71.60,71.60
ABBIN600SY,ROI-A5-BO-IN-600 Stock Yellow,Roto Industries Pty Ltd,ABBIN600SY,,71.60,71.60
ABBIN600TE,ROI-A8-BO-IN-600 Teal,Roto Industries Pty Ltd,ABBIN600TE,,71.60,71.60
ABBIN700DB,ROI-A2-BO-IN-700 Dark Blue,Roto Industries Pty Ltd,ABBIN700DB,,85.73,71.60
ABBIN700DG,ROI-A9-BO-IN-700 Dark Green,Roto Industries Pty Ltd,ABBIN700DG,,77.94,71.60
ABBIN700LB,ROI-A7-BO-IN-700 Light Blue,Roto Industries Pty Ltd,ABBIN800DB,,71.60,71.60
ABBIN700LG,ROI-A4-BO-IN-700 Lime Green,Roto Industries Pty Ltd,ABBIN700LG,,85.73,71.60
ABBIN700MB,ROI-B1-BO-IN-700 Mountain Blue,Roto Industries Pty Ltd,ABBIN700MB,,75.25,71.60
ABBIN700MO,ROI-A1-BO-IN-700 Monument,Roto Industries Pty Ltd,ABBIN800CG,,85.73,71.60
ABBIN700PU,ROI-B2-BO-IN-700 Purple,Roto Industries Pty Ltd,ABBIN700PU,,71.60,71.60
ABBIN700SO,ROI-A6-BO-IN-700 Stock Orange,Roto Industries Pty Ltd,ABBIN700SO,,77.94,71.60
ABBIN700SR,ROI-A3-BO-IN-700 Stock Red,Roto Industries Pty Ltd,ABBIN700SR,,85.73,71.60
ABBIN700SW,ROI-B3-BO-IN-700 Stock White,Roto Industries Pty Ltd,ABBIN700SW,,71.60,71.60
ABBIN700SY,ROI-A5-BO-IN-700 Stock Yellow,Roto Industries Pty Ltd,ABBIN700SY,,85.73,71.60
ABBIN700TE,ROI-A8-BO-IN-700 Teal,Roto Industries Pty Ltd,ABBIN700TE,,77.94,78.70
ABBIN800DB,ROI-A2-BO-IN-800 Dark Blue,Roto Industries Pty Ltd,ABBIN800DB,,82.71,82.71
ABBIN800DG,ROI-A9-BO-IN-800 Dark Green,Roto Industries Pty Ltd,ABBIN800DG,,82.71,78.70
