Action,ProductSKU,ProductName,QuantityToProduce,BufferPercent,ProductionInstructionUrl,IgnoreCumulativeLeadTime,ProductionLeadTime,Version,VersionName,VersionDefault,MinQuantity,MaxQuantity,DeviationPercent,RunSize,OperationSequence,OperationType,OperationName,CycleTime,UnitPerCycle,WorkCentreCode,WorkCentreName,PreviousStep,ItemType,ComponentSKU_ResourceCode,ComponentName_ResourceName,Quantity,WastageQuantity_ForStockComponentOnly,WastagePercent_ForStockComponentOnly,CostAllocationType,SalesValue,CostOfWastage,DeliveryTo_LocationName,DeliveryTo_BinName,CoManPriceTier,Tracing,IssueMethodComponent,IssueMethodParameter,OperationIsBackflush,ComponentIsBackflush,ResourceCostType
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R60/N/10ADG/FX,Roll Spring Pin 12 Stainless Steel (420) 1/8 x 1/2,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R64/W/FL,Nozzle Insert Stainless Steel (303/304) Drawing No. 09/009,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R69/W/AV,Valve Spindle Hex Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R70/W/12PTF/FL,Acetal Washer 16mm x 25mm x 2mm,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R71/W/AV,O-Ring 6mm 6 x 10 x 2 DURO 70 AS 4020,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R72/W/AV,O-Ring 6mm 6 x 11 x 2.5 DURO 70 AS 4020,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R73/W/12PTF/AV,O-Ring 8m 8 x 12 x 2 DURO 70 AS 4020,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R75/W/AV,Spring Stainless Steel (304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R81/W/13PSF/FL,Hex Connector Acetyl for Side Tap 1" - 15mm Thread,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,TRF67/W/12PTF/AV,Transformed - Polished Exit Nozzle Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,TRF77/N/12PTF/AV,Transformed - Polished Press Button Stainless Steel,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,TRF80/W/13PSF/FL,Transformed - Polished Side Tap Body Eco Brass,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,1,,Yes,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,FinishedProduct,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,N/A,N/A,SalesValue,Tier 1,Tier 1,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R60/N/10ADG/FX,Roll Spring Pin 12 Stainless Steel (420) 1/8 x 1/2,2,0,0,,,,,,,No,Manual,,No,No,
