SKU,Product,Supplier,Supplier SKU,Supplier Product Name,Latest Price,Fixed Price
R01/W/1AB12/AV,Hex Nipple 15mm WM: AS 3688 COC2503,Austworld Commodities Pty Ltd,AW664NB,HEX NIPPLE BR 15MM,0.825,0.825
R02/N/1AB12/PT,Delivery Box Carton for AB12 404 x 325 x 895mm,Abbe Corrugated Pty. Ltd.,127432,AB12 Aqua Bubbler with extra crease & hand hole,3.849,3.66
R03/N/1AB12/PT,Delivery Box Packaging Carton Insert for AB12,Abbe Corrugated Pty. Ltd.,145776,149342 ABUAD Side Pod/Bod Bowl Insert 2017,1.479,1.17
R04/N/1AB12/ID,R04 Label Serial Number with WaterMark Cert WAT04 AUS,Acme Signs & Nameplates,Wat 04,Acme- AB WaterMark Label- WAT04 AUS + SN,8,8
R05/N/1AB12/ID,Back Flow Plate Watermark,Acme Signs & Nameplates,ABWMP,Anod name plates,6.5,6.5
R05/N/1AB12/ID,Back Flow Plate Watermark,Zhejiang Hua Li Label Co. Ltd,,,0.15,0.15
R06/N/1AB12/FX,Base Plate for AB12 12,Beta Metal Spinning Co. Pty. Ltd.,BP12,Base Plate - ABWB12,10.8,10.8
R07/N/1AB12/FX,Bottle Filler Plate 3mm Galvanised with Slot 13,Beta Metal Spinning Co. Pty. Ltd.,BFP13,13 - Bottle Filler Plate 3mm Gal With Slot,1.94,1.94
R08/N/1AB12/FL,Sump Mesh Assembly 2016,Beta Metal Spinning Co. Pty. Ltd.,SMA16,SUMP MESH ASSEMBLY 2016 - P/No.SMA16,10,10
R09/N/1AB12/FX,Sump Mesh Retaining Ring with 4 Holes 256p / sheet,AG Holding,AQA1009,Mesh Retaining Ring With 4 Holes,4.6,3.4
R09/N/1AB12/FX,Sump Mesh Retaining Ring with 4 Holes 256p / sheet,Beta Metal Spinning Co. Pty. Ltd.,SMRR17,SUMP MESH RETAINING RING - 4 HOLE,4,4
R10/N/1AB12/FL,Base Washer PVC Fountain Drawing No. 08/013,Bredo Mators Pty. Ltd.,Aug-13,Base Washer,2.8,2.8
