Item SKU,Item Description,Supplier
R02/N/1AB12/PT,Delivery Box Carton for AB12 404 x 325 x 895mm,Abbe Corrugated Pty. Ltd.
R03/N/1AB12/PT,Delivery Box Packaging Carton Insert for AB12,Abbe Corrugated Pty. Ltd.
R27/N/2ABUA13/PT,Delivery Box Carton for Side Pod 355mm x 215mm x 265mm,Abbe Corrugated Pty. Ltd.
R28/N/2ABUA13/PT,Delivery Box Carton Insert for Side Pod,Abbe Corrugated Pty. Ltd.
R35/N/4ABS14/PT,Delivery Box Carton for ABS14 1535 x 505 x 330mm,Abbe Corrugated Pty. Ltd.
R194/N/4ABS14/PT,ABWBS14 Void Box The Void to transform Big box for small station,Abbe Corrugated Pty. Ltd.
R134/N/FX,Foot Pedal Bracket,AG Holding
R160/N/1AB12/FX,Half Crescent Base Plate V5,AG Holding
R17/N/FX,Filter Bracket,AG Holding
R179/N/FX,H6 Base Plate with 4 Tags,AG Holding
R202/N/24PSPA/FL,Sink Mesh Rosette Profile Plate for ABUA13,AG Holding
R203/N/24PSPA/FL,Sink Mesh Under Plate for ABUA13,AG Holding
R211/N/1ABWMR21/FX,ABWMR21 Wall Mounted Refill - Wall Bracket 1.2mm S/S,AG Holding
R229/N/FX,Serial Label Plate,AG Holding
R264/N/FX,Filter Bracket (Aussie Filter),AG Holding
R83/N/FX,Mini Regulator Bracket V08,AG Holding
R09/N/1AB12/FX,Sump Mesh Retaining Ring with 4 Holes 256p / sheet,Ag Holdings
R242/N/1ABWR21/ID,Serial Label Plate (A) ABWMR21 (With Hole),AG Holdings
R244/N/1AB12/FL,Sump Mesh Profile - (Front Pod Wire Mesh),AG Holdings
R82/W/FL,Pressure Reducing Valve Lead Free Caleffi Regulator,All Valve Industries Pty. Ltd.
R94/W/16PVA/FL,Solar Panel Anti-Freeze Valve Caleffi 15mm,All Valve Industries Pty. Ltd.
PBA-12PPTF/R184,Yellow Push Palm Top Fountain Production BOM Assembly,aquaBUBBLER
PBA-12PPTF/R185,Green Push Palm Top Fountain Production BOM Assembly,aquaBUBBLER
PBA-12PPTF/R186,Blue Push Palm Top Fountain Production BOM Assembly,aquaBUBBLER
PBA-12PPTF/R187,Red Push Palm Top Fountain Production BOM Assembly,aquaBUBBLER
PBA-12PPTF/R188,Grey Push Palm Top Fountain Production BOM Assembly,aquaBUBBLER
